blnc_id,macu_codigo,blnc_monto,blnc_ano
216,700009,870593.00,2021
217,700010,195665.00,2021
218,700010,334252.00,2022
219,700010,934165.00,2023
220,700010,942873.00,2024
221,700011,664637.00,2022
222,700011,747584.00,2023
223,700011,877877.00,2024
224,700011,880957.00,2021
225,700012,101429.00,2022
226,700012,135901.00,2023
227,700012,353958.00,2024
228,700012,69546.00,2021
229,700013,153272.00,2022
230,700013,212765.00,2023
231,700013,420427.00,2024
232,700013,91049.00,2021
233,700014,1030559.00,2022
234,700014,722513.00,2024
235,700014,793786.00,2023
236,700014,975242.00,2021
237,800001,134499901.00,2024
238,800001,54960291.00,2021
239,800001,63163180.00,2022
240,800001,80534825.00,2023
241,800002,-110448547.00,2024
242,800002,-49994370.00,2021
243,800002,-57205329.00,2022
244,800002,-64470943.00,2023
245,600009,128011.00,2021
246,600009,9625.00,2022
247,600009,9290.00,2023
248,600009,0.00,2024
249,600010,0.00,2021
250,600010,18945.00,2022
251,600010,122.00,2023
252,600010,15675.00,2024
